FECHA,PRECIP,EVAP,TMAX,TMIN
9/7/64,2.3,5.3,34.5,21.5
10/7/64,0,10.2,31,24.5
11/7/64,0,8.8,30,24.5
12/7/64,0,9.2,30,27.5
13/07/1964,0,9.3,31,27.5
14/07/1964,2.5,5.6,30.5,27.5
15/07/1964,5.1,3.5,28,22
16/07/1964,0,2,29.5,23.5
17/07/1964,0,1.6,29.5,22.5
18/07/1964,3.4,2.3,33.5,25.5
19/07/1964,0,4.6,30,23.5
20/07/1964,0,9.6,29.5,22.5
21/07/1964,0,2.8,29.5,22.5
22/07/1964,0,3.9,30,24.5
23/07/1964,0,6.1,30,23.5
24/07/1964,3.5,6.9,30,27.5
25/07/1964,0,9,29,24
26/07/1964,0,4.8,29.5,25
27/07/1964,0,4.3,30,27.5
28/07/1964,0,5.2,30.5,27.5
29/07/1964,0,6.6,29.5,27
30/07/1964,0,4.5,29.5,21
31/07/1964,0,9.2,30,23
1/8/64,2,3.6,30,20
2/8/64,0,3.6,27,21
3/8/64,0,2.8,28.5,22
4/8/64,0,3.1,33.5,21
5/8/64,0,3.6,30,20
6/8/64,0,3.6,35.5,21
7/8/64,0,5.3,31,22.5
8/8/64,0,2.8,29.5,22.5
9/8/64,16.8,2.1,29,24
10/8/64,4,3.2,29,22
11/8/64,0,2.1,29.5,20
12/8/64,0,2.1,31,21
13/08/1964,0,4.4,31,22.5
14/08/1964,0,6.4,31,20
15/08/1964,0,2.6,29,21.5
16/08/1964,0,8.1,29,20
17/08/1964,0,6.9,29,19
18/08/1964,0,6.1,29.5,24
19/08/1964,0,5.4,29.5,23
20/08/1964,0,5.6,29.5,24.5
21/08/1964,3,5.4,30,23.5
22/08/1964,0,5.2,29.5,24.5
23/08/1964,0,3.7,31.5,25
24/08/1964,0,7.1,30,21.5
25/08/1964,0,6.6,31,22.5
26/08/1964,0,5.9,29.5,24
27/08/1964,5,7.1,31,21.5
28/08/1964,0,3.1,35,22
29/08/1964,10.7,6.5,30,23.5
30/08/1964,0,3.8,29,22
31/08/1964,0,2.9,30,22
1/9/64,0,4,29,22
2/9/64,0,9.2,35,20.5
3/9/64,10.2,6.1,30,23.5
4/9/64,1,2.5,29,20
5/9/64,0,5.8,29.5,22.5
6/9/64,0,2.8,31,24.5
7/9/64,0,7.1,30,20
8/9/64,5.5,6.5,29.5,25
9/9/64,0,4.7,28.5,19
10/9/64,0,6.9,30,22
11/9/64,0,2.4,29.5,23
12/9/64,0,3.1,30,20
13/09/1964,1.2,3.7,28,20
14/09/1964,1.3,2.8,35,23.5
15/09/1964,4.4,8.3,35,24
16/09/1964,0,8.1,30,23.5
17/09/1964,0,6.7,35,26.5
18/09/1964,3.2,7.2,35,22
19/09/1964,2,6.3,28.5,22
20/09/1964,0,4.7,28,22
21/09/1964,0,6.5,30,22
22/09/1964,0,5.9,35,25
23/09/1964,0,4.2,30,26
24/09/1964,23.4,9.8,28,25
25/09/1964,55.5,2.7,28,22.5
